ioc,ioc_type,threat_type,malware,confidence_level,reference,first_seen,last_seen,source,collection_date
2025-12-17 19:17:37,"""1681877""","""shift.ravelmint.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 19:08:43,"""1681875""","""bright.picket-warp.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 18:58:31,"""1681873""","""link.picket-warp.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 18:47:39,"""1681872""","""code.picket-warp.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 18:43:23,"""1681871""","""shine.picket-warp.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 18:37:12,"""1681868""","""picket.g1zmotrail.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 18:27:23,"""1681865""","""trail.g1zmotrail.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 18:18:08,"""1681864""","""evx5.g1zmotrail.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 18:14:02,"""1681863""","""deep.g1zmotrail.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 18:09:14,"""1681861""","""8r.g-1-zmotrail.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 18:00:57,"""1681860""","""flow.g-1-zmotrail.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 17:57:48,"""1681858""","""60lk5.g-1-zmotrail.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 17:47:59,"""1681850""","""65w.g-1-zmotrail.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 17:40:48,"""1681849""","""mug.t1nkercove.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 17:37:40,"""1681848""","""37msl.t1nkercove.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 17:27:18,"""1681847""","""ember.t1nkercove.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 17:17:28,"""1681845""","""lod8z.t1nkercove.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 17:08:31,"""1681844""","""warp.hushcopper.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 17:02:48,"""1681582""","""fortwaynejubileebrontide.com""","""domain""","""botnet_cc""","""win.hijackloader""","""DOILoader",GHOSTPULSE,ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 16:57:05,"""1681529""","""pouch.hushcopper.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 16:47:54,"""1681514""","""ppek.hushcopper.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 16:38:06,"""1681503""","""ufp7o.hushcopper.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 16:27:49,"""1681502""","""8g.picketwarp.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 16:17:36,"""1681501""","""ii.picketwarp.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 16:07:44,"""1681499""","""loop.picketwarp.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 15:57:24,"""1681491""","""latch.picketwarp.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 15:47:37,"""1681490""","""fox.fl-0-wlatch.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 15:37:21,"""1681489""","""7a80p.fl-0-wlatch.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 15:27:04,"""1681488""","""wfg.fl-0-wlatch.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 15:18:16,"""1681487""","""alpha.fl-0-wlatch.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 15:07:54,"""1681486""","""vx.quartzmug.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 14:57:55,"""1681484""","""bg.quartzmug.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 14:47:53,"""1681483""","""lv.quartzmug.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 14:43:53,"""1681482""","""5cir.quartzmug.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 14:37:39,"""1681481""","""6n.bramble-fix.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 14:27:22,"""1681480""","""dl.bramble-fix.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 14:18:38,"""1681479""","""field.bramble-fix.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 14:05:48,"""1681478""","""beta.bramble-fix.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 13:57:52,"""1681473""","""jjc6u.v0rtapouch.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 13:47:06,"""1681472""","""wire.v0rtapouch.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
2025-12-17 13:37:49,"""1681471""","""barrel.v0rtapouch.ru""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""",ThreatFox,2025-12-19T04:10:15.079855
